Palas,Precio,Marca,Color,Balance,Nucleo,Cara,Dureza,Nivel de Juego,Forma,Superficie,Tipo de Juego,Jugador,score_lesion,score_nivel,score_lesion_ajustado,score_nivel_ajustado
DUNLOP TITAN PRO GOLD 2024,94.95,dunlop,gris,2,0,1,2,2,0,1,2,hombre,0.32432432432432434,0.49707602339181295,0.35675675675675683,0.49707602339181295
STARVIE CORVUS COLUMNS,101.95,No data,negro,3,4,0,1,2,2,1,3,hombre,0.4594594594594595,0.5146198830409358,0.4594594594594595,0.5146198830409358
VAIRO COLUMNS ULTRA,229.95,No data,negro,2,2,0,2,2,0,1,2,mixta,0.4864864864864865,0.49707602339181295,0.4864864864864865,0.49707602339181295
STARVIE VESTA 2024,88.95,No data,"negro, azul",2,4,1,1,1,1,0,1,hombre,0.16216216216216217,0.08771929824561406,0.2,0.2
STARVIE ECLIPTA 2024,99.95,No data,"negro, blanco, morado",1,4,1,1,1,1,1,1,mixta,0.08108108108108109,0.0,0.2,0.2
VIBOR-A NAYA XTREME FIBER 2024,111.95,vibor-a,blanco,2,4,1,1,1,2,2,2,mixta,0.2972972972972973,0.19298245614035092,0.38648648648648654,0.2
BLACK CROWN SPECIAL PRO,264.95,black crown,No data,2,2,0,2,2,2,2,2,hombre,0.5405405405405406,0.5672514619883041,0.5405405405405406,0.5672514619883041
SOFTEE IMPERIUM 2024,51.95,softee,negro,2,2,1,2,1,0,2,2,hombre,0.4864864864864865,0.33333333333333337,0.4864864864864865,0.36666666666666675
SIUX TITANIA LADY 2.0,79.0,siux,negro,2,2,1,2,3,1,1,2,mujer,0.4864864864864865,0.6140350877192984,0.4864864864864865,0.6140350877192984
BLACK CROWN SPECIAL MASTER,224.95,black crown,azul,2,2,2,2,2,2,0,2,hombre,0.6054054054054054,0.49707602339181295,0.544864864864865,0.49707602339181295
STAR VIE KRAKEN SOFT,125.95,No data,"negro, verde",2,4,0,0,2,2,2,0,mixta,0.21621621621621623,0.3918128654970761,0.2810810810810811,0.43099415204678376
SALMING HERO S21 ATTACK,114.95,No data,"negro, blanco",3,2,0,0,2,3,1,0,mixta,0.43243243243243246,0.49707602339181295,0.43243243243243246,0.49707602339181295
ENEBE CROSS,70.95,enebe,"amarillo, gris",1,4,1,0,2,1,1,0,mixta,0.08108108108108109,0.2339181286549708,0.2,0.304093567251462
VIDAR OF BASTAD CC ELITE,209.95,No data,"negro, gris",0,2,0,0,2,2,1,0,mixta,0.21621621621621623,0.2339181286549708,0.2810810810810811,0.304093567251462
SALMING HERO S19 TECH,94.95,No data,"negro, rosa",0,2,0,0,2,0,1,0,mujer,0.16216216216216217,0.2339181286549708,0.2,0.304093567251462
ENEBE AEROX PRO CARBON ROJO,124.95,enebe,"negro, naranja",3,2,0,0,2,2,1,3,hombre,0.5405405405405406,0.5146198830409358,0.5405405405405406,0.5146198830409358
PALA BEACH TENNIS ADIDAS METALBONE 3.2 H31 NEGRO AZUL,149.95,adidas,"negro, azul",2,2,0,2,1,2,1,3,mixta,0.6216216216216217,0.33333333333333337,0.5594594594594595,0.36666666666666675
DUNLOP ROCKET TOUR ROJO,55.95,dunlop,"negro, rojo",2,2,1,2,1,1,1,1,hombre,0.40540540540540543,0.22807017543859653,0.40540540540540543,0.2964912280701755
VAIRO ACROSS PINK,64.95,No data,"negro, blanco, rosa",2,2,1,0,1,1,1,2,mujer,0.32432432432432434,0.12280701754385967,0.35675675675675683,0.2
PRINCE ROCKET TATTO,149.95,prince,"negro, blanco, rojo",2,2,0,0,1,1,2,2,hombre,0.32432432432432434,0.19298245614035092,0.35675675675675683,0.2
DUNLOP BOOST ATTACK 2.0,97.95,dunlop,verde,2,4,1,1,1,2,2,2,mixta,0.2972972972972973,0.19298245614035092,0.38648648648648654,0.2
BLACK CROWN PITON PREMIUM 2024,165.95,black crown,"negro, naranja",2,4,0,1,2,1,2,2,hombre,0.24324324324324326,0.4269005847953218,0.31621621621621626,0.4269005847953218
STARVIE ARCADIA 2024,66.95,No data,"naranja, azul",1,4,1,1,1,1,0,2,mixta,0.16216216216216217,0.035087719298245626,0.2,0.2
STARVIE TITANIA SOFT 2024,121.95,No data,"negro, rojo",2,4,1,1,1,1,2,2,hombre,0.24324324324324326,0.19298245614035092,0.31621621621621626,0.2
STARVIE KENTA ETERNAL PRO 2024,184.95,No data,"negro, gold",1,2,0,2,2,1,2,1,hombre,0.32432432432432434,0.44444444444444453,0.35675675675675683,0.44444444444444453
ENEBE SUPRA 3K 2024,183.95,enebe,"negro, naranja",2,2,0,2,2,2,1,2,hombre,0.5405405405405406,0.49707602339181295,0.5405405405405406,0.49707602339181295
VIBOR-A RUSSELL CLASSIC FIBER 2024,87.95,vibor-a,No data,2,4,1,1,1,0,1,2,mixta,0.24324324324324326,0.12280701754385967,0.31621621621621626,0.2
SOFTEE RUNA BLUE HYBRID,139.95,softee,azul,2,4,0,1,2,0,1,2,hombre,0.24324324324324326,0.35672514619883045,0.31621621621621626,0.3923976608187135
SOFTEE RAZE EVOLUTION GREEN CARBONO,75.95,softee,negro,2,4,0,1,1,0,1,2,hombre,0.24324324324324326,0.12280701754385967,0.31621621621621626,0.2
SOFTEE RANGER ORANGE 2024,59.95,softee,negro,2,4,1,2,1,3,2,3,hombre,0.5945945945945946,0.4912280701754387,0.5945945945945946,0.4912280701754387
SOFTEE RUNA RED HYBRID 2024,139.95,softee,negro,2,4,0,1,1,0,1,2,hombre,0.24324324324324326,0.12280701754385967,0.31621621621621626,0.2
BULLPADEL X-COMPACT 2 LTD GREEN,64.95,bullpadel,"negro, verde",1,4,1,0,2,1,1,0,mixta,0.08108108108108109,0.2339181286549708,0.2,0.304093567251462
DUNLOP PDL SPACE ELITE G1 HL,95.95,dunlop,naranja,3,0,0,2,2,3,1,3,hombre,0.5945945945945946,0.7426900584795323,0.5945945945945946,0.7426900584795323
BULLPADEL KITTER AZUL,54.95,bullpadel,"negro, gris",3,2,0,0,2,3,2,0,mixta,0.43243243243243246,0.5672514619883041,0.43243243243243246,0.5672514619883041
BULLPADEL VERTEX XSERIES,108.95,bullpadel,"negro, azul",3,4,1,2,1,2,1,1,mixta,0.4594594594594595,0.3157894736842106,0.4594594594594595,0.3473684210526317
NOX AT10 GENIUS 18K BLACK BY AGUSTIN TAPIA,179.95,nox,rojo,2,2,0,3,2,2,2,2,hombre,0.6216216216216217,0.6374269005847953,0.5594594594594595,0.6374269005847953
SIUX PLATINUM REVOLUTION 24K,89.95,siux,"negro, naranja",2,4,0,0,2,2,1,0,mixta,0.21621621621621623,0.32163742690058483,0.2810810810810811,0.35380116959064334
BULLPADEL ELITE W MUJER 2023,114.95,bullpadel,"negro, plateado",2,2,2,0,2,2,1,2,mujer,0.4432432432432432,0.35672514619883045,0.4432432432432432,0.3923976608187135
NOX SHADOW CONTROL FIBER,79.95,nox,"negro, verde",2,3,0,0,2,1,2,0,mixta,0.40540540540540543,0.3918128654970761,0.40540540540540543,0.43099415204678376
DUNLOP RENEGADE,49.95,dunlop,"negro, amarillo, gris",1,4,0,0,1,1,1,0,mixta,0.08108108108108109,0.0,0.2,0.2
BULLPADEL LEGEND 3.0,69.95,bullpadel,"negro, azul",1,4,1,0,2,1,1,0,mixta,0.08108108108108109,0.2339181286549708,0.2,0.304093567251462
BULLPADEL RAIDER PWR,49.95,bullpadel,"negro, verde",3,4,1,0,1,3,1,0,mixta,0.35135135135135137,0.26315789473684215,0.38648648648648654,0.3421052631578948
ADIDAS METALBONE W TEAM MUJER 2023,105.95,adidas,"negro, blanco, azul",3,4,1,0,3,3,2,3,mujer,0.5135135135135136,0.7894736842105264,0.5135135135135136,0.7894736842105264
BABOLAT COUNTER VIPER 2023,152.95,babolat,"negro, amarillo",2,2,0,0,2,1,2,2,mixta,0.32432432432432434,0.4269005847953218,0.35675675675675683,0.4269005847953218
NOX AT10 GENIUS 18K GLOSS BY AGUSTIN TAPIA EX,149.95,nox,No data,2,2,0,2,2,2,0,2,hombre,0.5405405405405406,0.49707602339181295,0.5405405405405406,0.49707602339181295
WILSON BELA TEAM V2 ROJO,109.95,wilson,rojo,3,2,1,0,2,3,2,3,mixta,0.5945945945945946,0.6725146198830411,0.5945945945945946,0.6725146198830411
NOX ML10 BAHIA LUXURY SERIES 23,109.95,nox,"negro, rojo",2,2,0,0,2,2,2,2,mixta,0.3783783783783784,0.4269005847953218,0.4162162162162163,0.4269005847953218
BABOLAT VIPER CARBON VICTORY BARCELONA,144.95,babolat,"gold, azul",3,2,0,0,2,3,2,3,hombre,0.5945945945945946,0.6725146198830411,0.5945945945945946,0.6725146198830411
WILSON CUPRA PADEL,104.95,wilson,No data,2,4,0,1,3,3,2,2,hombre,0.35135135135135137,0.6315789473684211,0.38648648648648654,0.6315789473684211
NOX AT GENIUS ATTACK 18K 2022,127.95,nox,No data,0,2,0,0,2,3,2,0,hombre,0.2702702702702703,0.3918128654970761,0.35135135135135137,0.43099415204678376
BULLPADEL X-COMPACT 2 LTD NARANJA,39.95,bullpadel,"negro, naranja",1,4,1,0,1,1,1,0,mixta,0.08108108108108109,0.0,0.2,0.2
BULLPADEL FLOW W MUJER 2023,84.95,bullpadel,"blanco, rosa",2,2,2,0,2,3,2,2,mujer,0.49729729729729727,0.5146198830409358,0.49729729729729727,0.5146198830409358
DUNLOP SAMURAI SOFT,49.95,dunlop,"negro, gris, rojo",2,4,0,0,1,2,1,0,mixta,0.21621621621621623,0.08771929824561406,0.2810810810810811,0.2
PALA SIUX CAYMAN,59.95,siux,"negro, naranja, plateado",2,4,0,0,1,0,2,2,hombre,0.24324324324324326,0.19298245614035092,0.31621621621621626,0.2
DUNLOP IMPACT PRO HL PINK,59.95,dunlop,"negro, azul, rosa",2,2,1,2,2,0,2,2,mixta,0.4864864864864865,0.5672514619883041,0.4864864864864865,0.5672514619883041
BULLPADEL ELITE LIGHT FIP,99.95,bullpadel,No data,2,2,0,2,2,2,2,2,mujer,0.5405405405405406,0.5672514619883041,0.5405405405405406,0.5672514619883041
SOFTEE FREEZER CARBON BLUE 2024,123.95,softee,negro,2,2,0,2,1,2,0,2,hombre,0.5405405405405406,0.26315789473684215,0.5405405405405406,0.3421052631578948
SOFTEE RAZE EVOLUTION ORANGE CARBONO,69.95,softee,negro,2,4,0,1,1,1,1,2,hombre,0.24324324324324326,0.12280701754385967,0.31621621621621626,0.2
RS PADEL COBRA EDITION LIMA MUJER,79.95,No data,"negro, lima",1,2,1,0,1,1,2,0,mujer,0.16216216216216217,0.07017543859649124,0.2,0.2
SOFTEE K3 TOUR 7.0,144.95,softee,"negro, amarillo",3,4,0,0,2,1,1,0,mixta,0.24324324324324326,0.4093567251461989,0.31621621621621626,0.4093567251461989
J.HAYBER WARRIOR FIT,51.95,No data,"azul, lima",2,4,1,0,2,1,1,0,mixta,0.16216216216216217,0.32163742690058483,0.2,0.35380116959064334
BULLPADEL AXYM DB 2023,89.95,bullpadel,"negro, verde",2,2,1,0,2,2,2,2,hombre,0.3783783783783784,0.4269005847953218,0.4162162162162163,0.4269005847953218
STAR VIE RAPTOR MASTER FINAL,179.0,No data,blanco,2,4,0,2,2,1,2,2,hombre,0.40540540540540543,0.5672514619883041,0.40540540540540543,0.5672514619883041
DUNLOP BLITZ ATTACK 2.0,103.95,dunlop,naranja,1,2,0,2,2,1,2,1,hombre,0.32432432432432434,0.44444444444444453,0.35675675675675683,0.44444444444444453
SOFTEE BEACH TENNIS FISTERRA,232.95,No data,negro,2,2,0,2,2,1,2,1,mixta,0.40540540540540543,0.5321637426900585,0.40540540540540543,0.5321637426900585
VAIRO COMPACT SIGNATURE,209.95,softee,"negro, blanco",0,2,0,2,3,0,2,0,hombre,0.32432432432432434,0.5614035087719299,0.35675675675675683,0.5614035087719299
BLACK CROWN PITON 12 SILVER 2024,160.95,black crown,"negro, azul marino",2,4,0,1,2,1,2,2,hombre,0.24324324324324326,0.4269005847953218,0.31621621621621626,0.4269005847953218
SIUX ELECTRA ST3 GO,189.0,siux,No data,2,3,0,2,1,0,2,2,mixta,0.6486486486486487,0.33333333333333337,0.5837837837837838,0.36666666666666675
MYSTICA LEGACY HYBRID YELLOW 2024,62.95,No data,"negro, amarillo",2,2,1,2,1,0,1,2,mixta,0.4864864864864865,0.26315789473684215,0.4864864864864865,0.3421052631578948
ENEBE ARROW BLUE 2024,67.95,enebe,"negro, azul",3,4,1,1,1,3,1,3,hombre,0.5135135135135136,0.368421052631579,0.5135135135135136,0.40526315789473694
ENEBE COMBAT CARBON 9.1,48.95,No data,No data,2,2,1,2,1,0,0,2,mixta,0.4864864864864865,0.26315789473684215,0.4864864864864865,0.3421052631578948
MYSTICA QUICKSTART HYBRID RED 2024,109.95,enebe,"negro, lima",1,4,0,0,2,0,1,0,mixta,0.08108108108108109,0.2339181286549708,0.2,0.304093567251462
RS COBRA EDITION NEGRO BLANCO,104.95,No data,"negro, blanco",2,4,1,0,1,1,2,0,mixta,0.16216216216216217,0.1578947368421053,0.2,0.2
SOFTEE PRO MASTER EVOLUTION AMARILLO,49.95,softee,"negro, amarillo",2,4,1,0,1,2,2,0,mixta,0.21621621621621623,0.1578947368421053,0.2810810810810811,0.2
SALMING MAGICIAN S17 LTD,94.95,No data,"negro, blanco",2,4,0,0,2,0,1,0,mixta,0.16216216216216217,0.32163742690058483,0.2,0.35380116959064334
VAIRO ACROSS ORANGE SAND FINISH,64.95,No data,"negro, blanco, naranja",1,2,1,0,1,1,2,1,mixta,0.16216216216216217,0.07017543859649124,0.2,0.2
VAIRO ACROSS YELLOW SAND FINISH,64.95,No data,amarillo,1,2,2,2,1,1,2,1,mixta,0.3891891891891892,0.2105263157894737,0.4281081081081082,0.2736842105263158
VAIRO TURBO COMFORT,119.95,No data,No data,3,2,0,2,2,2,1,1,hombre,0.5405405405405406,0.5497076023391814,0.5405405405405406,0.5497076023391814
WILSON PRO STAFF V2 TEAM NEGRO ROJO,47.95,wilson,"negro, rojo",1,4,1,0,2,1,1,0,mixta,0.08108108108108109,0.2339181286549708,0.2,0.304093567251462
RS PADEL PRIME EDITION 2.0 AZUL OSCURO MUJER,94.95,No data,"blanco, azul marino",2,2,0,0,2,2,2,0,mujer,0.2972972972972973,0.3918128654970761,0.38648648648648654,0.43099415204678376
VARLION LW SUMMUM PRISMA MUJER,188.95,varlion,"negro, azul",2,3,0,0,2,1,2,1,mixta,0.40540540540540543,0.3918128654970761,0.40540540540540543,0.43099415204678376
SOFTEE EGON 2024,29.95,softee,negro,0,4,1,1,1,1,1,1,hombre,0.08108108108108109,0.0,0.2,0.2
SOFTEE SUMMIT 3.0 YELLOW POWER 2024,174.95,softee,"negro, amarillo",3,4,0,1,2,0,2,2,hombre,0.32432432432432434,0.5146198830409358,0.35675675675675683,0.5146198830409358
BLACK CROWN PATRON EVOLUTION 2024,184.95,black crown,No data,2,0,0,3,2,0,2,2,hombre,0.40540540540540543,0.6374269005847953,0.40540540540540543,0.6374269005847953
BABOLAT DYNA ENERGY 2023,191.95,babolat,"blanco, rosa",2,2,2,0,1,2,2,2,mujer,0.4432432432432432,0.19298245614035092,0.4432432432432432,0.2
STARVIE ASTRUM 2024,172.95,No data,negro,2,4,0,1,2,1,2,2,hombre,0.24324324324324326,0.4269005847953218,0.31621621621621626,0.4269005847953218
PRINCE TOUR DI LEGEND,146.95,prince,"blanco, verde",2,2,0,0,2,3,2,0,mixta,0.35135135135135137,0.4795321637426901,0.38648648648648654,0.4795321637426901
SOFTEE PRO MASTER EVOLUTION NARANJA,49.95,softee,"negro, naranja",2,4,1,0,2,2,1,0,mixta,0.21621621621621623,0.32163742690058483,0.2810810810810811,0.35380116959064334
ENEBE AEROX CARBON 21,118.95,enebe,"negro, azul",2,4,0,0,2,1,1,0,hombre,0.16216216216216217,0.32163742690058483,0.2,0.35380116959064334
MYSTICA LEGACY HYBRID ORANGE 2024,62.95,No data,"negro, rojo",2,2,1,2,1,0,1,2,mixta,0.4864864864864865,0.26315789473684215,0.4864864864864865,0.3421052631578948
DROP SHOT CANYON SOFT,135.95,drop shot,"blanco, azul",0,4,0,0,3,2,1,0,mixta,0.13513513513513514,0.35087719298245623,0.2,0.3859649122807019
VAIRO ACROSS PINK SAND FINISH,64.95,No data,rosa,1,2,2,2,1,1,2,1,mujer,0.3891891891891892,0.2105263157894737,0.4281081081081082,0.2736842105263158
VAIRO ACROSS ORANGE,64.95,No data,"negro, blanco, naranja",2,2,1,0,1,1,1,1,hombre,0.24324324324324326,0.08771929824561406,0.31621621621621626,0.2
ENEBE AEROX 7.2 CARBON RELOADED 2024,151.95,enebe,"negro, blanco",2,2,0,2,1,2,1,2,hombre,0.5405405405405406,0.26315789473684215,0.5405405405405406,0.3421052631578948
ENEBE COMBAT 7.1 RELOADED 2024,138.95,enebe,"negro, blanco, gold",2,2,0,2,1,0,1,2,hombre,0.4864864864864865,0.26315789473684215,0.4864864864864865,0.3421052631578948
ENEBE RSX 7.1 CARBON RELOADED,151.95,enebe,rosa,2,2,0,2,2,2,1,2,mixta,0.5405405405405406,0.49707602339181295,0.5405405405405406,0.49707602339181295
VAIRO ACROSS YELLOW,64.95,No data,"negro, blanco, amarillo",2,2,1,0,1,1,1,2,mixta,0.32432432432432434,0.12280701754385967,0.35675675675675683,0.2
STARVIE AQUILA PRO 2024,110.95,enebe,"negro, naranja",2,4,0,0,2,2,1,0,mixta,0.21621621621621623,0.32163742690058483,0.2810810810810811,0.35380116959064334
ENEBE SUPRA CARBON 21,107.95,No data,No data,3,2,0,2,2,2,2,2,mixta,0.6216216216216217,0.6549707602339182,0.5594594594594595,0.6549707602339182
SOFTEE SPEED 3.0 ROYAL POWER 2024,167.95,softee,negro,2,4,0,1,2,2,2,3,hombre,0.3783783783783784,0.49707602339181295,0.4162162162162163,0.49707602339181295
SIUX LIBERTY CONTROL,99.95,siux,No data,1,2,0,2,1,1,2,1,mixta,0.32432432432432434,0.2105263157894737,0.35675675675675683,0.2736842105263158
ENEBE NITRO RED 2024,59.95,enebe,negro,2,2,1,2,1,1,1,1,hombre,0.40540540540540543,0.22807017543859653,0.40540540540540543,0.2964912280701755
ENEBE RESPONSE FIBER PURPLE,95.95,enebe,blanco,2,2,1,2,1,0,1,2,mujer,0.4864864864864865,0.26315789473684215,0.4864864864864865,0.3421052631578948
SOFTEE SPEED GOLD POWER 3.0 2024,179.95,softee,"negro, gold",2,4,0,2,2,2,2,2,hombre,0.4594594594594595,0.5672514619883041,0.4594594594594595,0.5672514619883041
VIBOR-A BELCHER CLASSIC FIBER 2024,82.95,vibor-a,"negro, azul",2,2,1,1,1,1,1,1,hombre,0.24324324324324326,0.08771929824561406,0.31621621621621626,0.2
STARVIE TITANIA ULTRA SPEED SOFT 2024,103.95,No data,"negro, rojo",2,4,1,1,2,1,2,1,hombre,0.16216216216216217,0.3918128654970761,0.2,0.43099415204678376
STARVIE RADAR 2024,123.95,No data,"negro, gris",2,4,1,1,1,2,1,2,hombre,0.2972972972972973,0.12280701754385967,0.38648648648648654,0.2
STARVIE HELION 2024,118.95,No data,"negro, naranja",2,4,1,1,1,1,1,1,hombre,0.16216216216216217,0.08771929824561406,0.2,0.2
SOFTEE BLOQUER 2024,83.95,softee,negro,3,2,0,2,1,0,1,2,hombre,0.5675675675675675,0.35087719298245623,0.5675675675675675,0.3859649122807019
SOFTEE FREEZER CARBON GREEN 2024,123.95,softee,negro,2,2,0,2,1,2,1,2,hombre,0.5405405405405406,0.26315789473684215,0.5405405405405406,0.3421052631578948
STARVIE METHEORA 2024,169.95,No data,"negro, azul",1,4,0,1,2,1,2,1,hombre,0.08108108108108109,0.304093567251462,0.2,0.33450292397660825
SOFTEE POTENZA RAINBOW BLUE,95.95,softee,No data,2,4,0,1,1,2,1,2,hombre,0.2972972972972973,0.12280701754385967,0.38648648648648654,0.2
ROYAL PADEL M27 LIGHT 2024,245.95,royal padel,rosa,0,0,3,1,2,1,2,1,mujer,0.12972972972972974,0.304093567251462,0.2,0.33450292397660825
ROYAL PADEL R-LINE FURY 2024,246.95,royal padel,rojo,3,2,0,2,2,1,2,2,hombre,0.5675675675675675,0.6549707602339182,0.5675675675675675,0.6549707602339182
STAR VIE ASTRUM PRO,179.0,No data,blanco,2,2,0,3,2,1,2,2,hombre,0.5675675675675675,0.6374269005847953,0.5675675675675675,0.6374269005847953
SIUX ULTRA PRO,349.0,siux,negro,2,2,0,2,2,0,2,2,hombre,0.4864864864864865,0.5672514619883041,0.4864864864864865,0.5672514619883041
SIUX SPYDER LITE CTRL 3 HARD,229.0,siux,"negro, verde",1,3,0,3,2,1,1,1,hombre,0.5675675675675675,0.44444444444444453,0.5675675675675675,0.44444444444444453
PRINCE PADEL JET,211.95,prince,"negro, verde",3,2,0,0,2,3,2,0,hombre,0.43243243243243246,0.5672514619883041,0.43243243243243246,0.5672514619883041
SALMING HERO S51 12K,114.95,No data,"negro, blanco",1,4,0,0,2,1,1,0,mixta,0.08108108108108109,0.2339181286549708,0.2,0.304093567251462
SIUX STONE FORCE,99.0,siux,"negro, azul",1,4,1,0,1,1,1,1,mixta,0.08108108108108109,0.0,0.2,0.2
SOFTEE WINNER PRO FUCSIA,125.95,softee,"negro, fucsia",0,4,0,0,2,2,1,0,mixta,0.13513513513513514,0.2339181286549708,0.2,0.304093567251462
VAIRO ACROSS BLUE SAND FINISH,125.95,enebe,"negro, naranja",2,2,0,0,1,2,2,2,hombre,0.3783783783783784,0.19298245614035092,0.4162162162162163,0.2
ENEBE COMBAT CARBON 9.2 NARANJA,125.95,enebe,"negro, azul",2,4,0,0,1,2,1,2,hombre,0.2972972972972973,0.12280701754385967,0.38648648648648654,0.2
ENEBE RSX AZUL,64.95,No data,"negro, blanco, azul",1,2,1,0,1,1,2,1,hombre,0.16216216216216217,0.07017543859649124,0.2,0.2
VIBOR-A TAIPAN LIQUID EDITION 2023,189.95,vibor-a,"negro, blanco, rojo",2,4,0,0,2,2,2,2,hombre,0.2972972972972973,0.4269005847953218,0.38648648648648654,0.4269005847953218
ENEBE RESPONSE 24K,210.95,enebe,rosa,0,3,0,2,2,0,1,2,hombre,0.5675675675675675,0.4093567251461989,0.5675675675675675,0.4093567251461989
DUNLOP SPEED ATTACK 2.0,91.95,dunlop,amarillo,2,2,1,2,1,1,2,1,mixta,0.40540540540540543,0.29824561403508776,0.40540540540540543,0.3877192982456141
STARVIE AQUILA ULTRA SPEED SOFT 2024,110.95,No data,amarillo,3,4,0,1,2,2,2,2,mixta,0.3783783783783784,0.5146198830409358,0.4162162162162163,0.5146198830409358
BLACK CROWN PITON ATTACK 15K POWER 2024,174.95,black crown,negro,2,2,2,0,2,2,2,2,hombre,0.4432432432432432,0.4269005847953218,0.4432432432432432,0.4269005847953218
ENEBE RS 9.1 ORANGE 2024,82.95,enebe,naranja,2,0,1,2,1,0,1,2,hombre,0.32432432432432434,0.26315789473684215,0.35675675675675683,0.3421052631578948
STARVIE KENTA ETERNAL ULTRA SPEED SOFT 2024,181.95,No data,"negro, gold",1,4,0,1,1,1,2,1,hombre,0.08108108108108109,0.07017543859649124,0.2,0.2
STARVIE TITANIA PRO 2024,103.95,No data,"negro, rojo",2,2,0,2,1,1,2,2,hombre,0.4864864864864865,0.33333333333333337,0.4864864864864865,0.36666666666666675
VAIRO BLACK KARBON SPEED,189.95,No data,negro,2,2,0,3,2,0,1,2,mixta,0.5675675675675675,0.5672514619883041,0.5675675675675675,0.5672514619883041
ENEBE RESPONSE FIBER BLUE,111.95,enebe,rojo,0,2,1,2,2,3,1,3,hombre,0.5945945945945946,0.5672514619883041,0.5945945945945946,0.5672514619883041
ENEBE MASSIVE ROJA 2024,95.95,enebe,No data,2,2,1,2,1,0,1,2,hombre,0.4864864864864865,0.26315789473684215,0.4864864864864865,0.3421052631578948
VAIRO EVERLAST CONFORT,174.95,No data,No data,0,0,0,0,0,0,0,0,mixta,0.0,0.0,0.2,0.2
VAIRO GENETIC POWER,144.95,No data,azul,2,4,0,2,2,1,2,2,mixta,0.40540540540540543,0.5672514619883041,0.40540540540540543,0.5672514619883041
VAIRO EVERLAST SPEED,174.95,No data,No data,0,0,0,0,0,0,0,0,mixta,0.0,0.0,0.2,0.2
BULLPADEL HACK 03 FIP,189.95,bullpadel,No data,3,2,0,2,2,3,1,3,hombre,0.7567567567567568,0.7426900584795323,0.6054054054054054,0.7426900584795323
SOFTEE WINNER PRO MAROON 2024,111.95,softee,"negro, plateado",2,4,0,1,2,2,1,2,hombre,0.2972972972972973,0.35672514619883045,0.38648648648648654,0.3923976608187135
SOFTEE SUMMIT 3.0 ORANGE POWER 2024,174.95,softee,"negro, naranja",3,4,0,1,2,0,2,2,hombre,0.32432432432432434,0.5146198830409358,0.35675675675675683,0.5146198830409358
SOFTEE SPEED 3.0 YELLOW POWER 2024,167.95,softee,"negro, amarillo",2,4,0,1,2,2,2,2,hombre,0.2972972972972973,0.4269005847953218,0.38648648648648654,0.4269005847953218
SOFTEE TRIONIC 2024,151.95,softee,naranja,2,4,0,2,1,0,2,2,hombre,0.40540540540540543,0.33333333333333337,0.40540540540540543,0.36666666666666675
ROYAL PADEL R30 GOLDEN WHITE PREMIER MENDOZA,288.95,royal padel,No data,3,4,1,1,3,3,1,2,hombre,0.43243243243243246,0.649122807017544,0.43243243243243246,0.649122807017544
ROYAL PADEL RP 779 WHIP EVA 2024,181.95,royal padel,No data,3,3,1,3,2,1,2,3,hombre,0.8918918918918919,0.7953216374269007,0.7135135135135136,0.7953216374269007
SOFTEE WINNER STAR PRO,114.95,softee,"negro, plateado",0,4,0,0,2,1,1,0,mixta,0.08108108108108109,0.2339181286549708,0.2,0.304093567251462
SOFTEE SPEED 3.0 WOMAN POWER 2024,170.95,softee,negro,2,4,0,1,2,2,2,3,mujer,0.3783783783783784,0.49707602339181295,0.4162162162162163,0.49707602339181295
ROYAL PADEL WHIP HYBRID 2024,181.95,royal padel,No data,2,1,1,2,2,1,2,2,hombre,0.32432432432432434,0.5672514619883041,0.35675675675675683,0.5672514619883041
ENEBE RS 9.1 BLUE 2024,87.95,enebe,azul,2,0,1,2,1,0,1,2,hombre,0.32432432432432434,0.26315789473684215,0.35675675675675683,0.3421052631578948
SIUX FENIX GO 4,174.99,siux,No data,3,3,0,3,1,0,1,3,hombre,0.8918918918918919,0.4912280701754386,0.7135135135135136,0.4912280701754386
SOFTEE BEACH TENNIS COPACABANA,178.95,softee,"negro, naranja",3,0,0,0,1,0,2,3,mixta,0.32432432432432434,0.35087719298245623,0.35675675675675683,0.3859649122807019
PACK PALA BULLPADEL VERTEX LTD,116.95,bullpadel,No data,3,3,0,3,2,3,2,3,hombre,1.0,0.8830409356725146,0.9,0.8830409356725146
ADIDAS ADIPOWER MULTIWEIGHT CTRL 2023,184.6,adidas,"negro, naranja",2,2,0,0,2,1,2,2,hombre,0.32432432432432434,0.4269005847953218,0.35675675675675683,0.4269005847953218
ORYGEN INTRUDER,15.95,orygen,"negro, rosa",1,1,0,1,1,1,1,0,mixta,0.0,0.0,0.2,0.2
ADIDAS METALBONE 3.2 2023,199.95,adidas,"negro, blanco, rojo",2,4,0,0,2,3,2,1,hombre,0.2702702702702703,0.4795321637426901,0.35135135135135137,0.4795321637426901
NOX TEMPO WPT LUXURY SERIES 2022,109.95,nox,No data,2,2,0,0,3,2,2,0,hombre,0.2972972972972973,0.5087719298245614,0.38648648648648654,0.5087719298245614
PALA SIUX FENIX III JAVI RUIZ PRO,119.95,siux,"negro, naranja",2,2,0,2,3,0,2,2,hombre,0.4864864864864865,0.6842105263157896,0.4864864864864865,0.6842105263157896
BULLPADEL HACK 03 CTR 2023,109.95,bullpadel,"negro, azul, plateado",1,2,0,0,2,1,1,1,mixta,0.16216216216216217,0.2339181286549708,0.2,0.304093567251462
