Palas,Precio,Marca,Color,Balance,Nucleo,Cara,Dureza,Nivel de Juego,Forma,Superficie,Tipo de Juego,Jugador,score_lesion,score_nivel
ROYAL PADEL 34 ANIVERSARIO LIGHT 2024,271.95,nox,No data,3,0,0,2,2,2,2,2,hombre,0.6346153846153847,0.6416819012797076
NOX VK10 BY ARANZAZU OSORO 2024,169.95,nox,No data,0,0,0,2,2,1,2,1,mujer,0.3653846153846154,0.39488117001828155
PICKLEBALL ADIDAS PB ADIPOWER ATTK 3.2 GRIS AMARILLO PB1AA5U29,229.95,adidas,"amarillo, gris",0,0,0,3,2,0,2,1,mixta,0.38461538461538464,0.38391224862888484
ROYAL PADEL RP 850 PURE,297.95,royal padel,rosa,3,2,0,2,3,3,2,3,mujer,0.8846153846153847,0.9122486288848263
ROYAL PADEL R-LINE RACE LIGHT 2024,144.95,royal padel,verde,3,4,0,1,1,3,1,0,hombre,0.6538461538461539,0.6014625228519196
ROYAL PADEL M27 LTD 2024,297.95,royal padel,No data,1,0,0,2,2,1,2,1,hombre,0.42307692307692313,0.42230347349177333
SIDE SPIN FOCUS 3K,147.95,No data,"negro, verde",3,2,0,0,2,3,2,0,mixta,0.5576923076923077,0.586837294332724
BULLPADEL INDIGA W MUJER 2022,79.95,bullpadel,"negro, rosa",1,4,1,0,1,1,1,0,mujer,0.45,0.3747714808043876
ROYAL PADEL  760 CARRERA WOMAN,127.95,royal padel,"azul, rosa",1,4,1,1,2,1,2,1,mujer,0.6423076923076924,0.5904936014625228
STARVIE KENTA ETERNAL 2024,190.95,No data,"negro, gold",1,4,0,1,2,1,2,1,hombre,0.5961538461538461,0.5539305301645339
BULLPADEL ELITE COP 2023,249.95,bullpadel,"negro, rojo",2,2,0,2,2,2,2,2,mujer,0.6923076923076923,0.6745886654478978
NOX LA10 BY LEO AUGSBURGER 2024,199.95,nox,negro,3,0,0,2,2,3,2,3,No data,0.7307692307692308,0.7513711151736746
STAR VIE RAPTOR PRO MASTER FINAL,179.0,No data,negro,0,2,0,0,2,1,2,2,hombre,0.42307692307692313,0.4497257769652651
STARVIE TRITON SOFT 2024,229.95,No data,"negro, plateado",3,4,0,1,2,2,2,3,hombre,0.8653846153846154,0.8281535648994515
ENEBE RS 8.1 SILVER,87.95,enebe,"negro, plateado",2,2,1,0,2,2,1,0,hombre,0.46923076923076923,0.46983546617915906
ENEBE RESPONSE 3K,184.95,enebe,verde,0,3,0,2,2,0,1,2,hombre,0.5192307692307693,0.4826325411334552
ENEBE MUSTANG 2024,234.95,enebe,negro,2,2,0,2,2,0,2,2,hombre,0.6153846153846154,0.5648994515539306
DUNLOP BLITZ ATTACK 2022,49.95,dunlop,"negro, azul, verde",2,4,1,0,2,2,2,0,mixta,0.6230769230769231,0.6014625228519196
